network,symbol,contract_address,method_ID,method
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0x95d89b41,symbol()
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xa457c2d7,"decreaseAllowance(address,uint256)"
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xa9059cbb,"transfer(address,uint256)"
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xb8e9744c,"adminDelegatecall(address,bytes)"
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xbe831a2e,"adminSstore(uint256,uint256)"
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xc30a0f25,Unknown
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xdd62ed3e,"allowance(address,address)"
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xe3113e3b,Unknown
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xf48ab4e0,adminReceiveEth()
ethereum,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xf851a440,admin()
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0x06fdde03,name()
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0x095ea7b3,"approve(address,uint256)"
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0x18160ddd,totalSupply()
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0x313ce567,decimals()
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0x39509351,"increaseAllowance(address,uint256)"
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0x70a08231,balanceOf(address)
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0x95d89b41,symbol()
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0xa457c2d7,"decreaseAllowance(address,uint256)"
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0xa9059cbb,"transfer(address,uint256)"
ethereum,APE,0x4d224452801ACEd8B2F0aebE155379bb5D594381,0xdd62ed3e,"allowance(address,address)"
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x06fdde03,name()
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x095ea7b3,"approve(address,uint256)"
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x18160ddd,totalSupply()
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x3018205f,getController()
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x313ce567,decimals()
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x3cebb823,changeController(address)
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x40c10f19,"mint(address,uint256)"
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x48f1cfdb,changeUnlockTime(uint256)
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x602bc62b,getUnlockTime()
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x70a08231,balanceOf(address)
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x8ef16d02,allowPrecirculation(address)
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x95d89b41,symbol()
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0x99d84045,isPrecirculationAllowed(address)
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0xa9059cbb,"transfer(address,uint256)"
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0xcc481912,disallowPrecirculation(address)
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0xdd62ed3e,"allowance(address,address)"
ethereum,THETA,0x3883f5e181fccaF8410FA61e12b59BAd963fb645,0xf77c4791,controller()
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x06fdde03,name()
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x0819ba74,changeExecutionAdmin(address)
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x095ea7b3,"approve(address,uint256)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x18160ddd,totalSupply()
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x1dd319cb,"burnFor(address,uint256)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x2b991746,"approveFor(address,address,uint256)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x313ce567,decimals()
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x3b7b5a16,"addAllowanceIfNeeded(address,address,uint256)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x42966c68,burn(uint256)
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x61247de3,isExecutionOperator(address)
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x654b748a,isSuperOperator(address)
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x699c834b,"setExecutionOperator(address,bool)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x6e9960c3,getAdmin()
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x70a08231,balanceOf(address)
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x7dd711c4,"approveAndExecuteWithSpecificGas(address,address,uint256,uint256,bytes)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x8f283970,changeAdmin(address)
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0x95d89b41,symbol()
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0xa9059cbb,"transfer(address,uint256)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0xac9fe421,"setSuperOperator(address,bool)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0xb01b0ef7,getExecutionAdmin()
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0xbb1e23cb,"paidCall(address,uint256,bytes)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0xcae9ca51,"approveAndCall(address,uint256,bytes)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0xdc2173f3,"approveAndExecuteWithSpecificGasAndChargeForIt(address,address,uint256,uint256,uint256,uint256,address,bytes)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0xdcdf5158,"executeWithSpecificGas(address,uint256,bytes)"
ethereum,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0xdd62ed3e,"allowance(address,address)"
ethereum,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x06fdde03,name()
